sent_id	token_id	form	upos
1	1	﻿Yer	NOUN
1	2	yuzida	NOUN
1	3	yashaydigan	VERB
1	4	kishilar	NOUN
1	5	hayoti	NOUN
1	6	tabiatga	NOUN
1	7	juda	ADV
1	8	bog‘langan	VERB
1	9	.	PUNCT
2	1	Inson	NOUN
2	2	o‘ziga	PRON
2	3	kerakli+bo‘lgan	VERB
2	4	hamma	PRON
2	5	narsani	NOUN
2	6	tabiatdan	NOUN
2	7	oladi	VERB
2	8	.	PUNCT
3	1	Odamlar	NOUN
3	2	o‘zlariga	PRON
3	3	kerakli+bo‘lgan	VERB
3	4	narsalarni	NOUN
3	5	tabiatdan	NOUN
3	6	olish	VERB
3	7	uchun	ADP
3	8	mehnat+qilish	VERB
3	9	.	PUNCT
4	1	Olimlar	NOUN
4	2	geografik	ADJ
4	3	qobiqning	NOUN
4	4	rivojlanishini	VERB
4	5	uch	NUM
4	6	bosqichga	NOUN
4	7	ajratishadi	VERB
4	8	.	PUNCT
5	1	nobiogen	ADJ
5	2	,	PUNCT
5	3	biogen	ADJ
5	4	va	CCONJ
5	5	antropogen	ADJ
5	6	.	PUNCT
6	1	Litosfera	NOUN
6	2	Yer	NOUN
6	3	po‘sti	NOUN
6	4	va	CCONJ
6	5	yuqori	ADJ
6	6	mantiyaning	NOUN
6	7	bir	NUM
6	8	qismini	NOUN
6	9	egallaydi	VERB
6	10	.	PUNCT
7	1	Yer	NOUN
7	2	po‘sti	NOUN
7	3	bilan	ADP
7	4	yuqori	ADJ
7	5	mantiya	NOUN
7	6	oraligidagi	NOUN
7	7	baqirib	VERB
7	8	chegarani	NOUN
7	9	1914-	NUM
7	10	yilda	NOUN
7	11	yevropalik	NOUN
7	12	olim	NOUN
7	13	Moxorovichich	NOUN
7	14	aniqlagan	VERB
7	15	.	PUNCT
8	1	Yer	NOUN
8	2	po‘sti	NOUN
8	3	tuzilishi	VERB
8	4	va	CCONJ
8	5	qalinligiga	NOUN
8	6	ikki	NUM
8	7	tipga	NOUN
8	8	bo‘linadi	VERB
8	9	.	PUNCT
9	1	Olimlarning	NOUN
9	2	ta’kidlashicha	VERB
9	3	,	PUNCT
9	4	Quyosh	NOUN
9	5	sistemasi	NOUN
9	6	va	CCONJ
9	7	Yer	NOUN
9	8	Koinotda	NOUN
9	9	harakatlanayotgan	VERB
9	10	changsimon	ADJ
9	11	zarrachalar	NOUN
9	12	birikishidan	VERB
9	13	hosil+bo‘lgan	VERB
9	14	.	PUNCT
10	1	Bunday	PRON
10	2	fikrni	NOUN
10	3	fransiyalik	NOUN
10	4	olim	NOUN
10	5	Dekart	PROPN
10	6	1644-	NUM
10	7	yilda	NOUN
10	8	,	PUNCT
10	9	keyinchalik	ADV
10	10	germaniyalik	NOUN
10	11	faylasuf	NOUN
10	12	.	PUNCT
11	1	Okean	NOUN
11	2	suvlari	NOUN
11	3	.	PUNCT
12	1	Yer	NOUN
12	2	yuzasining	NOUN
12	3	deyarli	ADV
12	4	71	NUM
12	5	foizini	NOUN
12	6	okean	NOUN
12	7	suvlari	NOUN
12	8	egallagan	VERB
12	9	.	PUNCT
13	1	Atmosfera	NOUN
13	2	geografik	ADJ
13	3	qobiqning	NOUN
13	4	eng	ADV
13	5	yuqori	ADJ
13	6	qismini	NOUN
13	7	egallagan	VERB
13	8	,	PUNCT
13	9	yengil	ADJ
13	10	va	CCONJ
13	11	serharakat	ADJ
13	12	havo	NOUN
13	13	qobig‘idir	VERB
13	14	.	PUNCT
14	1	U	PRON
14	2	Yerning	NOUN
14	3	qobiqlari	NOUN
14	4	bilan	ADP
14	5	muntazam	ADV
14	6	ravishda	ADP
14	7	aloqada	NOUN
14	8	,	PUNCT
14	9	o‘zaro	ADV
14	10	ta’sir+etib+turadi	VERB
14	11	.	PUNCT
15	1	Tog‘	NOUN
15	2	jinslari	NOUN
15	3	,	PUNCT
15	4	relief	NOUN
15	5	,	PUNCT
15	6	iqlim	NOUN
15	7	,	PUNCT
15	8	yerosti	NOUN
15	9	va	CCONJ
15	10	yerusti	ADJ
15	11	suvlari	NOUN
15	12	,	PUNCT
15	13	tuproq	NOUN
15	14	,	PUNCT
15	15	o‘simlik	NOUN
15	16	,	PUNCT
15	17	hayvonot	NOUN
15	18	olami	NOUN
15	19	tabiat	NOUN
15	20	komponentlarini	NOUN
15	21	hosil+qiladi	VERB
15	22	.	PUNCT
16	1	Aholi	NOUN
16	2	soni	NOUN
16	3	jamiyatning	NOUN
16	4	ijtimoiy	ADJ
16	5	Iqtisodiy	ADJ
16	6	taraqqiyoti	NOUN
16	7	davomida	ADP
16	8	o‘sib+kelgan	VERB
16	9	.	PUNCT
17	1	Yer+sharining	NOUN
17	2	uzluksiz	ADJ
17	3	suvli	ADJ
17	4	qobig‘i	NOUN
17	5	Dunyo	NOUN
17	6	okeani	NOUN
17	7	deb	SCONJ
17	8	+ataladi	VERB
17	9	.	PUNCT
18	1	Lekin	CCONJ
18	2	ular	PRON
18	3	materiklar	NOUN
18	4	bilan	ADP
18	5	birga	ADV
18	6	yaxlit	ADJ
18	7	litosfera	NOUN
18	8	plitalarini	NOUN
18	9	tashkil+etganligi	NOUN
18	10	uchun	ADP
18	11	materiklar	NOUN
18	12	nomi	NOUN
18	13	bilan	ADP
18	14	ataladi	VERB
18	15	.	PUNCT
19	1	Faqat	PART
19	2	Tinch+okean	NOUN
19	3	tubi	NOUN
19	4	mustaqil	ADJ
19	5	litosfera	NOUN
19	6	plitasi	NOUN
19	7	tariqasida+ajratiladi	VERB
19	8	.	PUNCT
20	1	Dunyo	NOUN
20	2	okeani	NOUN
20	3	suvining	NOUN
20	4	asosiy	ADJ
20	5	Xususiyati	NOUN
20	6	sho‘rligidir	NOUN
20	7	.	PUNCT
21	1	Agar	SCONJ
21	2	suv	NOUN
21	3	tarkibidagi	NOUN
21	4	tuz	NOUN
21	5	miqdori	NOUN
21	6	1	NUM
21	7	litr	NOUN
21	8	Dunyo	NOUN
21	9	okeani	NOUN
21	10	yerning	NOUN
21	11	barcha	PRON
21	12	qobiqlari	NOUN
21	13	bilan	ADP
21	14	muntazam	ADV
21	15	o‘zaro	ADV
21	16	aloqada+bo‘lib	VERB
21	17	,	PUNCT
21	18	sayyoramiz	NOUN
21	19	tabiatiga	NOUN
21	20	kuchli	ADJ
21	21	ta’sir+etib	VERB
21	22	turadi	VERB
21	23	.	PUNCT
22	1	Bu	PRON
22	2	tizimda	NOUN
22	3	modda	NOUN
22	4	va	CCONJ
22	5	energiya	NOUN
22	6	almashinuvi	VERB
22	7	kuzatiladi	VERB
22	8	.	PUNCT
23	1	Olimlarning	NOUN
23	2	fikricha	NOUN
23	3	,	PUNCT
23	4	hayot	NOUN
23	5	okean	NOUN
23	6	sohillaridagi	NOUN
23	7	to‘lqinlar	NOUN
23	8	hosil+qilgan	VERB
23	9	hayot	NOUN
23	10	Sharbati	NOUN
23	11	—	PUNCT
23	12	bo‘tqasimon	ADJ
23	13	loyqali	ADJ
23	14	suv	NOUN
23	15	muhitida	NOUN
23	16	hosil+bo‘lgan	VERB
23	17	.	PUNCT
24	1	okean	NOUN
24	2	suvlarida	NOUN
24	3	mikroskop	NOUN
24	4	bilan	ADP
24	5	ko‘rinadigan	VERB
24	6	organizmlardan	NOUN
24	7	tortib	VERB
24	8	150	NUM
24	9	tonna	NOUN
24	10	keladi	VERB
24	11	gan	VERB
24	12	ko‘k	ADJ
24	13	kitlargacha	NOUN
24	14	,	PUNCT
24	15	turli+xil	ADJ
24	16	organizmlar	NOUN
24	17	yashaydi	VERB
24	18	.	PUNCT
25	1	Quruqlikdagi	NOUN
25	2	eng	ADV
25	3	katta	ADJ
25	4	Buyuk+Afrika	PROPN
25	5	yer	NOUN
25	6	yorig‘i	NOUN
25	7	bor	MOD
25	8	,	PUNCT
25	9	har+ikkala	PRON
25	10	kengliklar	NOUN
25	11	bo‘yicha	ADP
25	12	iqlim	NOUN
25	13	Mintaqalari	NOUN
25	14	va	CCONJ
25	15	tabiat	NOUN
25	16	zonalari	NOUN
25	17	takrorlanib	VERB
25	18	joylashgan	VERB
25	19	,	PUNCT
25	20	chuchuk	ADJ
25	21	suvli	ADJ
25	22	eng	ADV
25	23	uzun	ADJ
25	24	750	NUM
25	25	km	SYM
25	26	va	CCONJ
25	27	chuqur	ADJ
25	28	tanganlik	NOUN
25	29	1470	NUM
25	30	m	SYM
25	31	ko‘li	NOUN
25	32	bor	MOD
25	33	,	PUNCT
25	34	olmos	NOUN
25	35	qazib	VERB
25	36	chiqarishda	VERB
25	37	dunyoda	NOUN
25	38	birinchi	NUM
25	39	o‘rinda	NOUN
25	40	.	PUNCT
26	1	Afrika	PROPN
26	2	—	PUNCT
26	3	qadimgi	ADJ
26	4	Gondvana	NOUN
26	5	quruqligining	NOUN
26	6	Bir	NUM
26	7	bo‘lagi	NOUN
26	8	.	PUNCT
27	1	180+mln	NUM
27	2	yil	NOUN
27	3	muqaddam	ADV
27	4	Arabiston	NOUN
27	5	yarimoroli	NOUN
27	6	bilan	ADP
27	7	birga	ADV
27	8	yaxlit	ADJ
27	9	platformani	NOUN
27	10	hosil+qilgan	VERB
27	11	.	PUNCT
28	1	Alp	NOUN
28	2	tog‘	NOUN
28	3	burmalanishi	VERB
28	4	davrida	NOUN
28	5	Qizil	NOUN
28	6	dengiz	NOUN
28	7	o‘rni	NOUN
28	8	ochilgan	VERB
28	9	.	PUNCT
29	1	Afrika	PROPN
29	2	deganda	VERB
29	3	dastlab	ADV
29	4	jazirama	ADJ
29	5	Issiqda	ADJ
29	6	chiniqqan	VERB
29	7	,	PUNCT
29	8	qora	ADJ
29	9	tanli	NOUN
29	10	,	PUNCT
29	11	jingalak	ADJ
29	12	sochli	NOUN
29	13	odamlar	NOUN
29	14	ko‘z	NOUN
29	15	o‘ngimizda	NOUN
29	16	gavdalanadi	VERB
29	17	.	PUNCT
30	1	Haqiqatan	ADV
30	2	ham	PART
30	3	Afrikaga	PROPN
30	4	issiq	ADJ
30	5	materik	NOUN
30	6	nisbati	NOUN
30	7	bejiz+berilmagan	VERB
30	8	.	PUNCT
31	1	Afrikada	PROPN
31	2	bitta	NUM
31	3	ekvatorial	ADJ
31	4	,	PUNCT
31	5	ikkitadan	NUM
31	6	subekvatorial	ADJ
31	7	,	PUNCT
31	8	tropik	ADJ
31	9	va	CCONJ
31	10	subtropik	ADJ
31	11	iqlim	NOUN
31	12	mintaqalari	NOUN
31	13	shakllangan	VERB
31	14	.	PUNCT
32	1	Ekvatorial	ADJ
32	2	mintaqa	NOUN
32	3	.	PUNCT
33	1	Bu	PRON
33	2	mintaqa	NOUN
33	3	Kongo	NOUN
33	4	daryosi	NOUN
33	5	havzasining	NOUN
33	6	Bir	NUM
33	7	qismini	NOUN
33	8	va	CCONJ
33	9	Gvineya	NOUN
33	10	qo‘ltig‘I	NOUN
33	11	sohillarini	NOUN
33	12	qamrab+olgan	VERB
33	13	.	PUNCT
34	1	Afrikaning	PROPN
34	2	yerusti	ADJ
34	3	va	CCONJ
34	4	yerosti	NOUN
34	5	suvlari	NOUN
34	6	uning	PRON
34	7	ichki	ADJ
34	8	suvlarini	NOUN
34	9	tashkil+etadi	VERB
34	10	.	PUNCT
35	1	Ularni	PRON
35	2	havzalar	NOUN
35	3	bo‘yicha	ADP
35	4	o‘rganib+chiqamiz	VERB
35	5	.	PUNCT
36	1	Doimiy	ADJ
36	2	sernam	ADJ
36	3	ekvatorial	ADJ
36	4	o‘rmonlar	NOUN
36	5	zonasi	NOUN
36	6	bir	NUM
36	7	marta	NOUN
36	8	,	PUNCT
36	9	fasliy	ADJ
36	10	nam	ADJ
36	11	o‘rmonlar	NOUN
36	12	,	PUNCT
36	13	savannalar	NOUN
36	14	va	CCONJ
36	15	siyrak	ADJ
36	16	o‘rmonlar	NOUN
36	17	.	PUNCT
37	1	Ekvatorial	ADJ
37	2	o‘rmonlar	NOUN
37	3	zonasi	NOUN
37	4	.	PUNCT
38	1	Bu	PRON
38	2	zona	NOUN
38	3	ekvatorial	ADJ
38	4	iqlim	NOUN
38	5	mintaqasida	NOUN
38	6	,	PUNCT
38	7	ekvatorga	NOUN
38	8	tutash	VERB
38	9	hududlarda	NOUN
38	10	va	CCONJ
38	11	Gvineya+qo‘ltig‘I	NOUN
38	12	Sohillarida	NOUN
38	13	tarkib+topgan	VERB
38	14	.	PUNCT
39	1	Tropik	ADJ
39	2	havo	NOUN
39	3	massalarining	NOUN
39	4	nihoyatda	PART
39	5	quruq	ADJ
39	6	ekanligi	NOUN
39	7	,	PUNCT
39	8	havo	NOUN
39	9	bosimining	NOUN
39	10	yuqoriligi	NOUN
39	11	tropik	ADJ
39	12	chalacho‘l	NOUN
39	13	va	CCONJ
39	14	cho‘llarning	NOUN
39	15	tarkib+topishiga	VERB
39	16	sabab	NOUN
39	17	bo‘lgan	VERB
39	18	.	PUNCT
40	1	Tropik	ADJ
40	2	cho‘llar	NOUN
40	3	materikning	NOUN
40	4	katta	ADJ
40	5	qismini	NOUN
40	6	30	NUM
40	7	%	SYM
40	8	egallaydi	VERB
40	9	va	CCONJ
40	10	,	PUNCT
40	11	asosan	ADP
40	12	,	PUNCT
40	13	Shimoliy	ADJ
40	14	Qismida	NOUN
40	15	joylashgan	VERB
40	16	.	PUNCT
41	1	Hozirgi+paytda	ADV
41	2	Afrika	PROPN
41	3	tabiiy	ADJ
41	4	sharoitiga	NOUN
41	5	ko‘ra	ADP
41	6	to‘rtta	NUM
41	7	yirik	ADJ
41	8	tabiiy	ADJ
41	9	geografik	ADJ
41	10	o‘lkaga	NOUN
41	11	ajratiladi	VERB
41	12	.	PUNCT
42	1	Ular	PRON
42	2	Shimoliy	ADJ
42	3	,	PUNCT
42	4	Markaziy	ADJ
42	5	,	PUNCT
42	6	Sharqiy	ADJ
42	7	va	CCONJ
42	8	Janubiy+Afrika	PROPN
42	9	deb	SCONJ
42	10	nomlangan	VERB
42	11	.	PUNCT
43	1	Afrika	PROPN
43	2	aholisi	NOUN
43	3	1+mlrd+203+mln	NUM
43	4	2016-	NUM
43	5	yil	NOUN
43	6	,	PUNCT
43	7	1-	NUM
43	8	iyul	NOUN
43	9	,	PUNCT
43	10	siyosiy	ADJ
43	11	Xaritasida	NOUN
43	12	50+dan	NUM
43	13	ortiq	ADJ
43	14	mamlakat	NOUN
43	15	bor	MOD
43	16	.	PUNCT
44	1	Materik	NOUN
44	2	shimolida	NOUN
44	3	Arablar	NOUN
44	4	bilan	ADP
44	5	berberlar	NOUN
44	6	yevropoid	ADJ
44	7	irqiga	NOUN
44	8	mansub	ADJ
44	9	yashaydi	VERB
44	10	.	PUNCT
45	1	Afrikaning	PROPN
45	2	qolgan	VERB
45	3	qismida	NOUN
45	4	,	PUNCT
45	5	asosan	ADP
45	6	,	PUNCT
45	7	negroid	ADJ
45	8	irqiga	NOUN
45	9	tegishli	ADJ
45	10	aholi	NOUN
45	11	bantu	NOUN
45	12	,	PUNCT
45	13	gottentot	NOUN
45	14	,	PUNCT
45	15	pigmey	NOUN
45	16	,	PUNCT
45	17	bur	NOUN
45	18	va	CCONJ
45	19	boshqalar	ADJ
45	20	yashaydi	VERB
45	21	.	PUNCT
46	1	Barcha	PRON
46	2	yarimsharlarda	NOUN
46	3	joylashgan	VERB
46	4	,	PUNCT
47	1	Buyuk	ADJ
47	2	geografik	ADJ
47	3	kashfiyotlar	NOUN
47	4	shu	PRON
47	5	okeandan	NOUN
47	6	boshlangan	VERB
47	7	,	PUNCT
47	8	qirg‘oqsiz	NOUN
47	9	dengizi	NOUN
47	10	bor	MOD
47	11	,	PUNCT
47	12	meridianal	ADJ
47	13	yo‘nalgan	VERB
47	14	eng	ADV
47	15	uzun	ADJ
47	16	o‘rta	ADJ
47	17	okean	NOUN
47	18	tizmasi	NOUN
47	19	bor	MOD
47	20	,	PUNCT
47	21	eng	ADV
47	22	yirik	ADJ
47	23	port	NOUN
47	24	-shaharlari	NOUN
47	25	bor	MOD
47	26	,	PUNCT
47	27	ichki	ADJ
47	28	dengizlari	NOUN
47	29	eng	ADV
47	30	ko‘p	ADV
47	31	,	PUNCT
48	1	Eng	ADV
48	2	sho‘r	ADJ
48	3	okean	NOUN
48	4	,	PUNCT
48	5	eng	ADV
48	6	issiq	ADJ
48	7	ko‘rfazi	NOUN
48	8	Mavjud	MOD
48	9	,	PUNCT
48	10	eng	ADV
48	11	katta	ADJ
48	12	suvosti	ADJ
48	13	deltasi	NOUN
48	14	bor	MOD
48	15	,	PUNCT
48	16	cho‘kindi	NOUN
48	17	jinslar	NOUN
48	18	.	PUNCT
49	1	Eng	ADV
49	2	mitti	ADJ
49	3	,	PUNCT
49	4	eng	ADV
49	5	past	ADJ
49	6	,	PUNCT
49	7	eng	ADV
49	8	quruq	ADJ
49	9	materik	NOUN
49	10	,	PUNCT
49	11	xaltali	ADJ
49	12	hayvonlar	NOUN
49	13	vatani	NOUN
49	14	,	PUNCT
49	15	sayyoramizning	NOUN
49	16	yaxlit	ADJ
49	17	noyob	ADJ
49	18	qo‘riqxonasi	NOUN
49	19	,	PUNCT
49	20	o‘rtasidan	NOUN
49	21	Janubiy	ADJ
49	22	tropik	ADJ
49	23	chizig‘I	NOUN
49	24	o‘tadi	VERB
49	25	,	PUNCT
49	26	evkalit	NOUN
49	27	daraxti	NOUN
49	28	vatani	NOUN
49	29	bo‘yi	NOUN
49	30	2	NUM
49	31	m	SYM
49	32	150	NUM
49	33	m	SYM
49	34	.	PUNCT
50	1	Massalari	NOUN
50	2	,	PUNCT
50	3	okean	NOUN
50	4	oqimlari	NOUN
50	5	,	PUNCT
50	6	relyefi	NOUN
50	7	materik	NOUN
50	8	iqlimining	NOUN
50	9	o‘ziga+xos	ADJ
50	10	Xususiyatlarini	NOUN
50	11	shakllantirgan	VERB
50	12	.	PUNCT
51	1	Shunga	PRON
51	2	ko‘ra	ADP
51	3	,	PUNCT
51	4	Avstraliya	PROPN
51	5	Yerimizdagi	NOUN
51	6	eng	ADV
51	7	qurg‘oqchil	ADJ
51	8	materik	NOUN
51	9	hisoblanadi	AUX
51	10	.	PUNCT
52	1	Yevropaliklar	NOUN
52	2	kelgunga	VERB
52	3	avstraliyaliklar	NOUN
52	4	juda	ADV
52	5	past	ADJ
52	6	taraqqiyot	NOUN
52	7	darajasida	NOUN
52	8	bo‘lishgan	VERB
52	9	.	PUNCT
53	1	Aborigenlar	NOUN
53	2	ovchilik	NOUN
53	3	,	PUNCT
53	4	termachilik	NOUN
53	5	bilan	ADP
53	6	kun	NOUN
53	7	ko‘rishgan	VERB
53	8	.	PUNCT
54	1	Geografik	ADJ
54	2	qobiq	NOUN
54	3	,	PUNCT
54	4	Dunyo	NOUN
54	5	okeani	NOUN
54	6	,	PUNCT
54	7	Afrika	PROPN
54	8	va	CCONJ
54	9	Avstraliya	PROPN
54	10	materiklarining	NOUN
54	11	asosiy	ADJ
54	12	xususiyatlarini	NOUN
54	13	gapirib+bering	VERB
54	14	.	PUNCT
55	1	Atlasdagi	NOUN
55	2	xaritadan	NOUN
55	3	foydalanib	VERB
55	4	,	PUNCT
55	5	Avstraliyaning	NOUN
55	6	chekka	NOUN
55	7	nuqtalari	NOUN
55	8	oralig‘idagi	NOUN
55	9	masofani	NOUN
55	10	o‘lchang	VERB
55	11	.	PUNCT
56	1	Afrika	PROPN
56	2	va	CCONJ
56	3	Avstraliyaning	NOUN
56	4	endemik	ADJ
56	5	hayvonlarini	NOUN
56	6	eslang	VERB
56	7	.	PUNCT
57	1	Okeanlar	NOUN
57	2	ichida	ADP
57	3	eng	ADV
57	4	keksa	ADJ
57	5	va	CCONJ
57	6	eng	ADV
57	7	kattasi	ADJ
57	8	,	PUNCT
57	9	eng	ADV
57	10	issig‘I	ADJ
57	11	,	PUNCT
57	12	„	PUNCT
57	13	olovli	ADJ
57	14	halqa	NOUN
57	15	“	PUNCT
57	16	mavjud	MOD
57	17	,	PUNCT
57	18	eng	ADV
57	19	chuqur	ADJ
57	20	,	PUNCT
57	21	biomassaga	NOUN
57	22	eng	ADV
57	23	boy	ADJ
57	24	.	PUNCT
58	1	Baliq	NOUN
58	2	ovlashda	NOUN
58	3	,	PUNCT
58	4	dengiz	NOUN
58	5	,	PUNCT
58	6	orollar	NOUN
58	7	soni	NOUN
58	8	,	PUNCT
58	9	kuchli	ADJ
58	10	shamol	NOUN
58	11	,	PUNCT
58	12	baland	ADJ
58	13	to‘lqin	NOUN
58	14	,	PUNCT
58	15	suv	NOUN
58	16	tubi	NOUN
58	17	vulqonlari	NOUN
58	18	bo‘yicha	ADP
58	19	dunyo	NOUN
58	20	Okeanida	NOUN
58	21	birinchi	NUM
58	22	o‘rinda	NOUN
58	23	.	PUNCT
59	1	Okeaniya	NOUN
59	2	—	PUNCT
59	3	Tinch	ADJ
59	4	okeanning	NOUN
59	5	bepoyon	ADJ
59	6	suvli	ADJ
59	7	maydonlarida	NOUN
59	8	sochilib	VERB
59	9	yotgan	VERB
59	10	orollar	NOUN
59	11	dunyosi	NOUN
59	12	,	PUNCT
59	13	suv	NOUN
